Year,Month,Day,Hours,Minutes,Seconds,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Penumbral Magnitude,Umbral Magnitude,Latitude,Longitude,Penumbral Eclipse Duration (m)
0035,8,7,22,11,37,10179,-24297,58,5,-0.6894,1.6139,0.5725,-18,71,321.9
0036,1,31,19,7,10,10174,-24291,63,7,-0.0146,2.8203,1.8418,18,120,325.2
0036,7,27,0,39,47,10169,-24285,68,8,0.0551,2.7944,1.72,-20,33,374.6
0037,1,20,10,54,28,10164,-24279,73,5,-0.6917,1.572,0.6053,20,-118,285.8
0037,7,16,1,16,0,10160,-24273,78,5,0.8011,1.4179,0.3584,-21,24,317.4
0037,12,11,12,39,56,10156,-24268,45,1,1.3868,0.3298,-0.7029,25,-148,160.8
0038,1,10,1,39,57,10155,-24267,83,1,-1.3974,0.2938,-0.7061,21,20,146.9
0038,6,5,21,40,23,10151,-24262,50,1,-1.1165,0.798,-0.1798,-24,76,231.4
0038,7,5,7,9,37,10150,-24261,88,2,1.5077,0.0952,-0.9125,-22,-65,88.4
0038,11,30,17,57,58,10146,-24256,55,5,0.7523,1.5219,0.434,22,131,325.9
0039,5,26,13,13,25,10141,-24250,60,6,-0.3391,2.2067,1.2641,-21,-158,310.3
0039,11,19,17,26,37,10137,-24244,65,8,0.0817,2.7615,1.6555,19,138,378.6
0040,5,15,6,26,43,10132,-24238,70,6,0.4009,2.0967,1.1473,-18,-56,309.7
0040,11,7,18,10,6,10127,-24232,75,5,-0.598,1.7967,0.7251,16,127,336.4
0041,4,5,9,43,36,10123,-24227,42,1,-1.4966,0.1263,-0.9026,-7,-103,103.6
0041,5,4,20,40,3,10122,-24226,80,1,1.1924,0.6673,-0.3273,-14,91,218.4
0041,9,28,14,24,35,10118,-24221,47,1,1.4635,0.1626,-0.8178,3,-176,108.8
0041,10,28,1,53,7,10117,-24220,85,1,-1.2479,0.5743,-0.438,12,11,202.9
0042,3,25,13,23,8,10113,-24215,52,5,-0.8009,1.4262,0.3512,-2,-157,321.9
0042,9,18,6,15,2,10109,-24209,57,5,0.7659,1.4322,0.4727,-2,-53,276.8
0043,3,14,13,26,49,10104,-24203,62,7,-0.0678,2.7719,1.6958,3,-157,372.6
0043,9,7,21,44,44,10099,-24197,67,8,0.0744,2.713,1.7296,-7,75,329.3
0044,3,2,17,20,47,10094,-24191,72,5,0.6624,1.6594,0.626,8,146,319
0044,8,27,8,23,54,10090,-24185,77,5,-0.6843,1.6199,0.585,-12,-84,317.9
0045,1,21,18,14,53,10086,-24180,44,1,-1.3193,0.4229,-0.549,19,132,168.8
0045,2,20,4,21,53,10085,-24179,82,1,1.3326,0.404,-0.5786,13,-19,168.7
0045,7,17,20,9,29,10081,-24174,49,1,1.4287,0.2737,-0.8003,-21,100,159.3
0045,8,16,11,57,7,10080,-24173,87,1,-1.4587,0.2194,-0.8563,-16,-136,142.6
0046,1,11,10,8,27,10076,-24168,54,5,-0.6563,1.6402,0.667,22,-107,291.3
0046,7,6,21,43,1,10071,-24162,59,5,0.6571,1.6755,0.6295,-23,76,329.7
0046,12,31,23,42,42,10067,-24156,64,8,0.021,2.8279,1.8111,23,48,339.4
0047,6,26,5,42,20,10062,-24150,69,7,-0.1377,2.6006,1.61,-24,-44,337.1
0047,12,21,6,51,24,10057,-24144,74,5,0.7484,1.5229,0.4473,24,-61,321.5
0048,6,14,20,16,49,10052,-24138,79,5,-0.8754,1.2251,0.2777,-24,96,263.6
0048,12,9,7,13,58,10048,-24132,84,1,1.4478,0.2553,-0.8516,24,-68,155.4
0049,5,6,6,27,57,10044,-24127,51,5,0.9106,1.1669,0.207,-15,-56,262.6
0049,10,29,14,16,32,10039,-24121,56,5,-0.8788,1.2725,0.2186,12,-175,295.3
0050,4,25,19,3,44,10034,-24115,61,8,0.1712,2.5498,1.5378,-12,115,345.1
0050,10,19,0,6,10,10029,-24109,66,7,-0.1426,2.594,1.5985,9,37,329.8
0051,4,15,0,25,55,10025,-24103,71,5,-0.6122,1.7664,0.7034,-9,35,340.8
0051,10,8,15,8,47,10020,-24097,76,5,0.5398,1.8496,0.8849,6,172,299.1
0052,3,4,9,5,7,10016,-24092,43,1,1.5311,0.0835,-0.9858,8,-90,87.9
0052,4,3,0,51,56,10015,-24091,81,1,-1.3568,0.4062,-0.669,-6,29,191.4
0052,8,28,20,33,55,10011,-24086,48,1,-1.4292,0.2328,-0.7621,-12,94,132.7
0052,9,27,6,54,24,10010,-24085,86,1,1.2345,0.5823,-0.3969,2,-64,197.6
0053,2,21,14,51,48,10006,-24080,53,5,0.7505,1.4908,0.4711,12,-177,302.5
0053,8,18,5,21,12,10002,-24074,58,5,-0.75,1.5057,0.4581,-15,-38,316.4
0054,2,11,3,28,21,9997,-24068,63,8,0.0096,2.8272,1.8533,15,-6,324.1
0054,8,7,7,23,25,9992,-24062,68,7,-0.0147,2.8704,1.7924,-17,-68,375.5
0055,1,31,19,27,30,9987,-24056,73,5,-0.6739,1.6036,0.6388,17,114,287.6
0055,7,27,8,1,10,9983,-24050,78,5,0.7267,1.5545,0.4949,-20,-78,326.3
0055,12,22,21,11,25,9979,-24045,45,1,1.3935,0.3186,-0.7163,25,85,158.7
0056,1,21,10,10,15,9978,-24044,83,1,-1.3896,0.3083,-0.692,19,-108,150.7
0056,6,16,4,50,14,9974,-24039,50,1,-1.1878,0.6659,-0.3092,-25,-32,213.4
0056,7,15,14,15,13,9973,-24038,88,1,1.4325,0.2324,-0.7736,-21,-172,135.9
0056,12,11,2,8,6,9969,-24033,55,5,0.7573,1.5137,0.4239,24,9,326.1
0057,6,5,20,37,27,9964,-24027,60,6,-0.4139,2.0689,1.1273,-23,91,306
0057,11,30,1,28,26,9960,-24021,65,8,0.0867,2.7524,1.6464,22,17,378.4
0058,5,26,13,48,35,9955,-24015,70,6,0.327,2.2331,1.2824,-20,-167,314.2
0058,11,19,2,25,57,9950,-24009,75,5,-0.5923,1.8064,0.7365,19,2,335.9
0059,5,16,3,45,4,9945,-24003,80,1,1.1228,0.796,-0.2008,-17,-16,236.4
0059,10,9,22,50,7,9942,-23998,47,1,1.479,0.1346,-0.8464,7,56,99
0059,11,8,10,27,17,9941,-23997,85,1,-1.2384,0.5911,-0.42,15,-118,204.9
0060,4,4,20,12,30,9937,-23992,52,5,-0.867,1.304,0.2307,-6,99,312.3
0060,9,28,14,37,59,9932,-23986,57,5,0.7918,1.3862,0.4235,2,180,274.1
0061,3,24,20,25,56,9927,-23980,62,7,-0.1262,2.6622,1.5911,-1,97,370.5
0061,9,18,5,48,54,9923,-23974,67,8,0.1081,2.6542,1.665,-3,-47,330.3
0062,3,14,0,53,5,9918,-23968,72,5,0.6151,1.7429,0.716,4,31,322
0062,9,7,15,56,2,9913,-23962,77,5,-0.6428,1.6993,0.6579,-7,162,324
0063,2,2,2,46,5,9909,-23957,44,1,-1.3352,0.3919,-0.5762,16,4,162.7
0063,3,3,12,25,21,9908,-23956,82,1,1.295,0.4701,-0.507,9,-141,180.2
0063,7,29,2,46,5,9905,-23951,49,1,1.5007,0.1426,-0.9336,-18,0,116.4
0063,8,27,18,58,15,9904,-23950,87,1,-1.4061,0.3185,-0.762,-12,117,170.7
0064,1,22,18,47,36,9900,-23945,54,5,-0.6692,1.6161,0.6437,19,123,290.3
0064,7,17,4,28,44,9895,-23939,59,5,0.7315,1.5385,0.4935,-21,-25,320.2
0065,1,11,8,12,39,9890,-23933,64,8,0.013,2.8432,1.8252,22,-79,340.5
0065,7,6,12,52,9,9886,-23927,69,7,-0.0633,2.7361,1.7475,-23,-152,336.7
0065,12,31,15,1,36,9881,-23921,74,5,0.7428,1.5337,0.4568,24,178,323.1
0066,6,26,3,41,56,9876,-23915,79,5,-0.8015,1.3604,0.4137,-24,-15,273
0066,12,20,15,13,55,9871,-23909,84,1,1.4417,0.266,-0.8402,25,173,158.5
0067,5,17,13,49,2,9868,-23904,51,5,0.9854,1.0303,0.069,-18,-168,251.2
0067,6,15,20,57,27,9867,-23903,89,2,-1.5189,0.0432,-0.9019,-25,85,55.6
0067,11,9,22,34,28,9863,-23898,56,5,-0.8844,1.2617,0.2092,16,60,293.4
0068,5,6,2,4,8,9858,-23892,61,8,0.2473,2.4112,1.3973,-16,9,344.2
0068,10,29,8,41,7,9853,-23886,66,7,-0.1525,2.5756,1.5806,13,-93,328.8
0069,4,25,7,3,32,9849,-23880,71,5,-0.5351,1.9077,0.8449,-13,-66,348.5
0069,10,18,23,46,12,9844,-23874,76,5,0.5243,1.8791,0.9123,10,41,300.3
0070,4,14,7,31,58,9839,-23868,81,1,-1.2844,0.5372,-0.5341,-10,-73,216.9
0070,9,9,4,25,28,9835,-23863,48,1,-1.4723,0.157,-0.8441,-8,-25,110.2
0070,10,8,15,17,47,9835,-23862,86,1,1.2164,0.6178,-0.3662,6,168,203.4
0071,3,4,22,38,14,9831,-23857,53,5,0.7872,1.4201,0.4069,8,65,296.3
0071,8,29,12,38,10,9826,-23851,58,5,-0.8036,1.4105,0.3566,-11,-148,311.1
0072,2,22,11,43,32,9821,-23845,63,8,0.0393,2.7703,1.8012,11,-131,323
0072,8,17,14,12,55,9817,-23839,68,7,-0.0795,2.7532,1.6715,-14,-172,375.7
0073,2,11,3,54,58,9812,-23833,73,5,-0.6518,1.6432,0.6804,14,-14,289.8
0073,8,6,14,53,14,9807,-23827,78,5,0.6568,1.6829,0.623,-17,178,333.6
0074,1,2,5,39,16,9803,-23822,45,1,1.4024,0.3032,-0.7334,25,-42,155.6
0074,1,31,18,33,21,9802,-23821,83,1,-1.3768,0.3319,-0.6686,16,126,156.5
0074,6,27,12,3,48,9798,-23816,50,1,-1.2566,0.5384,-0.4345,-25,-140,193.6
0074,7,26,21,28,30,9798,-23815,88,1,1.3622,0.3608,-0.6439,-19,79,166.7
0074,12,22,10,16,17,9794,-23810,55,5,0.7635,1.5029,0.4119,24,-112,326.1
0075,6,17,4,3,28,9789,-23804,60,5,-0.4871,1.9344,0.9933,-24,-21,301.1
0075,12,11,9,30,3,9784,-23798,65,8,0.092,2.7421,1.6369,23,-102,378
0076,6,5,21,10,5,9780,-23792,70,8,0.2531,2.3696,1.4171,-22,82,317.9
0076,11,29,10,44,11,9775,-23786,75,5,-0.5879,1.8133,0.7456,21,-122,335.1
0077,5,26,10,45,32,9770,-23780,80,1,1.0503,0.9306,-0.0692,-20,-122,253.2
0077,10,20,7,23,24,9766,-23775,47,1,1.4889,0.1164,-0.8649,11,-74,92
0077,11,18,19,5,53,9766,-23774,85,1,-1.232,0.602,-0.4073,18,112,205.9
0078,4,16,2,53,6,9762,-23769,52,5,-0.9397,1.1698,0.098,-10,-3,300.5
0078,10,9,23,8,40,9757,-23763,57,5,0.8115,1.3515,0.3859,7,50,272
0079,4,5,3,17,40,9752,-23757,62,7,-0.1912,2.5405,1.4743,-5,-8,367.7
0079,9,29,14,1,11,9748,-23751,67,8,0.1346,2.6084,1.6136,2,-172,331.3
0080,3,24,8,17,51,9743,-23745,72,5,0.5607,1.8395,0.8191,0,-82,325.1
0080,9,17,23,35,36,9738,-23739,77,5,-0.6082,1.7661,0.7182,-3,46,329.1
0081,2,12,11,10,6,9734,-23734,44,1,-1.3572,0.3496,-0.6146,13,-123,154
0081,3,13,20,20,42,9734,-23733,82,1,1.2503,0.5494,-0.4223,5,99,192.7
0081,8,8,9,29,38,9730,-23728,49,3,1.5667,0.023,-1.0558,-16,-101,47.3
0081,9,7,2,8,15,9729,-23727,87,1,-1.3606,0.4043,-0.6809,-8,8,191.3
0082,2,2,3,18,35,9725,-23722,54,5,-0.6886,1.5799,0.6087,17,-5,288.7
0082,7,28,11,22,28,9720,-23716,59,5,0.7998,1.4128,0.3684,-19,-129,310.4
0083,1,22,16,36,21,9716,-23710,64,8,0.0008,2.8659,1.8472,20,155,341.6
0083,7,17,20,7,38,9711,-23704,69,8,0.0073,2.8381,1.851,-22,99,335.7
0084,1,11,23,7,35,9706,-23698,74,5,0.7345,1.5492,0.4718,23,57,325
0084,7,6,11,9,43,9701,-23692,79,5,-0.7294,1.4926,0.5459,-24,-127,281.1
0084,12,30,23,12,1,9697,-23686,84,1,1.4338,0.2799,-0.8249,25,54,162.3
0085,5,27,21,5,37,9693,-23681,51,1,1.0632,0.8886,-0.0748,-20,83,237.6
0085,6,26,4,21,20,9692,-23680,89,1,-1.45,0.1707,-0.7766,-25,-26,109.4
0085,11,20,6,58,27,9688,-23675,56,5,-0.8858,1.258,0.2075,19,-67,292.1
0086,5,17,8,59,30,9684,-23669,61,6,0.3265,2.267,1.2507,-19,-96,342.3
0086,11,9,17,21,11,9679,-23663,66,7,-0.1588,2.5636,1.5695,17,137,327.8
0087,5,6,13,37,9,9674,-23657,71,5,-0.4551,2.0546,0.9917,-16,-166,355.4
0087,10,30,8,28,59,9669,-23651,76,5,0.5134,1.9,0.9314,14,-91,301.2
0088,4,24,14,7,46,9665,-23645,81,1,-1.2075,0.6765,-0.3912,-13,-173,239.7
0088,9,19,12,23,25,9661,-23640,48,1,-1.5096,0.0917,-0.9156,-3,-146,85.1
0088,10,18,23,46,51,9660,-23639,86,1,1.2034,0.6441,-0.3446,11,40,207.8
0089,3,15,6,18,11,9656,-23634,53,5,0.8302,1.3379,0.3312,3,-51,288.9
0089,9,8,20,2,49,9652,-23628,58,5,-0.8504,1.3279,0.2677,-7,99,306
0090,3,4,19,49,38,9647,-23622,63,8,0.0773,2.6982,1.7338,7,106,321.7
0090,8,28,21,12,52,9642,-23616,68,7,-0.136,2.6515,1.5661,-11,82,375.4
0091,2,22,12,13,30,9638,-23610,73,5,-0.6221,1.6966,0.7358,10,-139,292.7
0091,8,17,21,55,26,9633,-23604,78,5,0.5941,1.7983,0.7378,-14,72,339.2
0092,1,13,14,0,41,9629,-23599,45,1,1.416,0.2787,-0.7591,23,-166,150
0092,2,12,2,47,35,9628,-23598,83,1,-1.3574,0.3675,-0.6331,13,2,164.6
0092,7,7,19,21,59,9624,-23593,50,1,-1.3227,0.4165,-0.5548,-24,110,171.7
0092,8,6,4,50,8,9624,-23592,88,1,1.2972,0.4797,-0.5242,-16,-32,189.4
0093,1,1,18,19,53,9620,-23587,55,5,0.7729,1.4858,0.3943,24,127,325.5
0093,6,27,11,30,9,9615,-23581,60,5,-0.56,1.8008,0.8593,-24,-133,295.5
0093,12,21,17,31,38,9610,-23575,65,8,0.0978,2.7306,1.6271,24,138,377.4
0094,6,17,4,30,25,9606,-23569,70,8,0.1786,2.5077,1.5526,-23,-29,321.1
