Year,Month,Day,Hour,Minute,Second,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth
1570,8,1,22,0,22,135,-5311,109,11,-1.0655,0.8623,-70.4,171.9,0,38
1571,1,25,16,7,36,135,-5305,114,14,0.4422,1.0302,9.5,-62.8,64,169
1571,7,22,1,7,18,134,-5299,119,1,-0.3266,0.9481,-0.5,162.1,71,9
1572,1,15,7,38,12,134,-5293,124,14,-0.238,1.0485,-33,71.6,76,351
1572,7,10,1,42,42,134,-5287,129,1,0.4338,0.9562,46.6,159.7,64,187
1573,1,3,22,28,35,133,-5281,134,7,-0.9328,1.0058,-85.9,-54.1,21,258
1573,5,30,21,18,24,133,-5276,101,11,-1.4619,0.1436,-64.9,-114.6,0,337
1573,6,29,7,3,36,133,-5275,139,11,1.1724,0.677,67.5,-108.2,0,356
1573,11,24,15,24,46,133,-5270,106,11,1.2591,0.5191,64.3,-21.4,0,209
1574,5,20,12,25,42,132,-5264,111,14,-0.6763,1.0694,-19.7,3.7,47,346
1574,11,13,15,12,17,132,-5258,116,1,0.597,0.9171,14.8,-40,53,197
1575,5,10,5,34,45,132,-5252,121,17,0.0583,1.0697,23.1,94.6,87,162
1575,11,2,15,47,27,131,-5246,126,1,-0.1061,0.9483,-23.5,-62.6,84,22
1576,4,28,20,4,44,131,-5240,131,14,0.8328,1.014,64.8,-168,33,124
1576,10,21,23,13,6,131,-5234,136,1,-0.8031,0.9981,-59.2,147.9,36,51
1577,3,19,12,41,15,131,-5229,103,11,-1.2235,0.5798,-60.9,75.2,0,277
1577,9,12,4,15,23,130,-5223,108,11,1.1507,0.7297,61,-154.4,0,271
1577,10,11,13,8,2,130,-5222,146,11,-1.4473,0.1654,-61.6,-130.8,0,113
1578,3,8,12,26,52,130,-5217,113,1,-0.512,0.9336,-27.7,12.3,59,327
1578,9,1,20,15,8,130,-5211,118,14,0.4602,1.0408,28.4,-109.6,62,213
1579,2,25,15,34,47,129,-5205,123,1,0.2229,0.9728,6,-56.4,77,151
1579,8,22,7,41,32,129,-5199,128,1,-0.2937,0.9901,-6.6,57.2,73,27
1580,2,15,1,52,13,129,-5193,133,14,0.9164,1.0151,47.9,117.3,23,138
1580,8,10,12,0,5,129,-5187,138,11,-1.0802,0.8258,-61.6,-64.7,0,63
1581,1,5,6,49,58,128,-5182,105,11,-1.1041,0.8121,-63.7,-137.9,0,216
1581,6,30,22,6,53,128,-5176,110,11,1.0152,0.9454,64.2,-2.2,0,331
1581,12,25,20,35,20,128,-5170,115,1,-0.4567,0.9993,-49.4,-118.5,63,343
1582,6,20,5,30,27,128,-5164,120,14,0.2032,1.021,35,100.8,78,190
1582,12,25,4,8,39,127,-5158,125,1,0.2457,0.9459,-9.4,116.8,76,173
1583,6,19,19,39,32,127,-5152,130,14,-0.5581,1.0667,-10.4,-116.9,56,4
1583,12,14,4,48,39,127,-5146,135,1,0.9471,0.9083,48.5,104.1,18,177
1584,5,10,5,35,6,126,-5141,102,11,1.2478,0.5424,69.7,-53.5,0,29
1584,6,8,12,52,25,126,-5140,140,11,-1.2802,0.4805,-67.1,-13.3,0,0
1584,11,2,11,56,44,126,-5135,107,11,-1.351,0.3595,-70.4,-141.1,0,140
1585,4,29,18,28,58,126,-5129,112,7,0.5436,1.0005,46.6,-107.7,57,162
1585,10,22,21,33,25,126,-5123,117,14,-0.5846,1.0196,-45.7,-159.2,54,21
1586,4,19,0,10,9,125,-5117,122,1,-0.212,0.9517,-0.9,-179.1,78,345
1586,10,12,12,40,32,125,-5111,127,14,0.1278,1.0591,-0.3,-10.8,83,197
1587,4,8,0,27,5,125,-5105,132,1,-0.9502,0.9271,-60.5,-151.9,18,325
1587,10,2,4,51,25,125,-5099,137,14,0.8352,1.0387,50,128.3,33,208
1588,2,26,12,42,31,124,-5094,104,11,1.2038,0.6178,71.5,-68.8,0,119
1588,8,22,5,1,47,124,-5088,109,11,-1.1364,0.7355,-71.1,53.5,0,51
1589,2,15,0,42,20,124,-5082,114,14,0.4545,1.0344,13.6,167.1,63,166
1589,8,11,7,41,4,124,-5076,119,1,-0.4072,0.945,-8.2,61.4,66,12
1590,2,4,16,24,5,123,-5070,124,14,-0.2293,1.0498,-29.3,-58.8,77,347
1590,7,31,8,17,39,123,-5064,129,1,0.3503,0.9574,38.8,61.6,69,191
1591,1,25,7,9,22,123,-5058,134,7,-0.9298,1.0047,-81.9,150.6,21,283
1591,6,21,4,28,43,123,-5053,101,13,-1.5311,0.0129,-65.8,127.7,0,347
1591,7,20,14,2,8,123,-5052,139,11,1.0911,0.8249,68.5,136,0,346
1591,12,15,23,33,56,122,-5047,106,11,1.269,0.5024,65.3,-153.5,0,199
1592,6,9,19,55,49,122,-5041,111,14,-0.7465,1.0705,-24.7,-110.3,42,350
1592,12,3,23,7,16,122,-5035,116,1,0.6102,0.9159,14.5,-160.2,52,193
1593,5,30,13,7,31,122,-5029,121,14,-0.0106,1.0696,21.4,-17,90,342
1593,11,22,23,52,6,121,-5023,126,1,-0.0906,0.9488,-25.4,177.5,85,18
1594,5,20,3,23,17,121,-5017,131,14,0.7678,1.0141,64.9,94.1,40,136
1594,11,12,7,34,49,121,-5011,136,1,-0.7829,0.9991,-62.4,25.1,38,48
1595,4,9,19,50,5,121,-5006,103,11,-1.2777,0.4879,-61.1,-40.7,0,286
1595,10,3,12,24,36,121,-5000,108,11,1.1896,0.6546,61.1,74.6,0,262
1595,11,1,21,36,53,120,-4999,146,11,-1.4233,0.2111,-62.1,93.1,0,122
1596,3,28,19,43,19,120,-4994,113,1,-0.5583,0.9373,-26.3,-96.5,56,328
1596,9,22,4,7,3,120,-4988,118,14,0.5085,1.0346,26.8,133,59,213
1597,3,17,23,22,39,120,-4982,123,1,0.1878,0.9788,8.4,-173.3,79,151
1597,9,11,15,1,22,120,-4976,128,1,-0.2363,0.9843,-7.6,-52.4,76,29
1598,3,7,10,10,1,119,-4970,133,14,0.8893,1.0214,47.7,-8.2,27,135
1598,8,31,18,48,48,119,-4964,138,2,-1.0126,0.9398,-61.2,-175.6,0,72
1599,1,26,15,37,11,119,-4959,105,11,-1.1125,0.7965,-62.9,80.9,0,225
1599,7,22,4,45,15,119,-4953,110,11,1.0949,0.8068,63.4,-111.2,0,321
1600,1,16,5,12,46,118,-4947,115,1,-0.4623,0.9972,-47.4,115.9,62,337
1600,7,10,12,35,58,118,-4941,120,14,0.2804,1.0238,38.2,-2.7,74,196
1601,1,4,12,24,38,117,-4935,125,1,0.241,0.9437,-9.1,-7,76,169
1601,6,30,3,3,59,117,-4929,130,14,-0.4826,1.0697,-5.3,130.7,61,8
1601,12,24,12,50,31,116,-4923,135,1,0.9402,0.9078,46.6,-21.5,19,171
1602,5,21,13,6,44,116,-4918,102,11,1.3157,0.4132,68.8,-178.3,0,18
1602,6,19,20,19,21,116,-4917,140,11,-1.2097,0.6174,-66.1,-135.7,0,10
1602,11,13,20,3,5,115,-4912,107,11,-1.3643,0.3363,-69.5,84.8,0,153
1603,5,11,1,44,59,115,-4906,112,1,0.6107,0.9987,54.7,142.6,52,163
1603,11,3,5,54,55,114,-4900,117,14,-0.6041,1.0193,-51.1,75.6,53,20
1604,4,29,7,7,21,114,-4894,122,1,-0.1473,0.9525,6.3,74.8,82,347
1604,10,22,21,3,48,113,-4888,127,14,0.1,1.0567,-5.9,-137.8,84,195
1605,4,18,7,26,44,113,-4882,132,1,-0.8918,0.9327,-49.8,89.9,27,337
1605,10,12,12,59,58,112,-4876,137,14,0.8022,1.0344,43.4,0.6,36,203
1606,3,8,20,45,39,112,-4871,104,11,1.2253,0.58,71.9,156.4,0,105
1606,9,2,12,7,23,111,-4865,109,11,-1.2026,0.6182,-71.7,-66.5,0,64
1607,2,26,9,10,38,111,-4859,114,14,0.4727,1.0388,18.4,38.2,62,163
1607,8,22,14,20,48,110,-4853,119,1,-0.4824,0.9416,-16.1,-41.4,61,15
1608,2,16,1,3,28,110,-4847,124,14,-0.2154,1.0515,-24.8,171.7,77,345
1608,8,10,15,0,6,109,-4841,129,1,0.2722,0.9581,31,-39.6,74,194
1609,2,4,15,43,43,108,-4835,134,7,-0.9224,1.0041,-77.3,7.2,22,297
1609,7,30,21,7,8,108,-4829,139,11,1.014,0.9657,69.5,17.9,0,334
1609,12,26,7,43,34,107,-4824,106,11,1.2776,0.4877,66.3,73.9,0,188
1610,6,21,3,23,0,107,-4818,111,14,-0.8193,1.0705,-31.5,135.5,35,354
1610,12,15,7,6,48,106,-4812,116,1,0.6195,0.9153,14.7,78.2,52,188
1611,6,10,20,34,25,105,-4806,121,14,-0.0836,1.0686,18.4,-127.6,85,350
1611,12,4,8,3,43,105,-4800,126,1,-0.0803,0.9498,-26.9,56,85,13
1612,5,30,10,34,29,104,-4794,131,14,0.6976,1.0135,63.6,-1.9,45,149
1612,11,22,16,4,35,104,-4788,136,7,-0.7691,1.0002,-65.7,-98.4,39,43
1613,4,20,2,49,29,103,-4783,103,11,-1.3389,0.3839,-61.5,-154.4,0,295
1613,5,19,17,43,36,103,-4782,141,12,1.5171,0.0712,63.3,137.6,0,41
1613,10,13,20,40,24,102,-4777,108,11,1.2232,0.5902,61.3,-58.2,0,253
1613,11,12,6,12,15,102,-4776,146,11,-1.4048,0.2464,-62.7,-44.9,0,132
1614,4,9,2,52,58,102,-4771,113,1,-0.6103,0.9411,-25.7,156.2,52,329
1614,10,3,12,4,51,101,-4765,118,14,0.5511,1.0282,25.2,13.5,56,212
1615,3,29,7,3,24,100,-4759,123,1,0.1461,0.9851,10.7,71.7,82,151
1615,9,22,22,27,21,100,-4753,128,1,-0.1849,0.9784,-9.1,-163.5,79,29
1616,3,17,18,21,45,99,-4747,133,14,0.8568,1.0279,48,-131.4,31,134
1616,9,11,1,44,6,99,-4741,138,1,-0.9505,0.9319,-54.1,102.3,18,55
1617,2,6,0,20,23,98,-4736,105,11,-1.1241,0.775,-62.2,-59,0,235
1617,3,7,10,5,36,98,-4735,143,12,1.511,0.0419,61.2,-48.6,0,101
1617,8,1,11,29,44,97,-4730,110,11,1.1702,0.6756,62.7,138.3,0,312
1618,1,26,13,46,44,97,-4724,115,1,-0.47,0.9955,-44.7,-9.7,62,333
1618,7,21,19,44,30,96,-4718,120,14,0.3558,1.026,40.4,-106.3,69,201
1619,1,15,20,38,7,95,-4712,125,1,0.2349,0.9422,-8.1,-130.4,76,165
1619,7,11,10,29,59,95,-4706,130,14,-0.4077,1.0718,-1.3,18.6,66,12
1620,1,4,20,51,5,94,-4700,135,1,0.9321,0.9081,45,-146.5,21,165
1620,5,31,20,33,45,93,-4695,102,11,1.3868,0.2783,67.8,58.5,0,7
1620,6,30,3,46,25,93,-4694,140,11,-1.1393,0.7535,-65.1,102.3,0,20
1620,11,24,4,16,35,93,-4689,107,11,-1.3729,0.3212,-68.5,-50.6,0,165
1621,5,21,8,53,44,92,-4683,112,1,0.6828,0.9962,63.1,36.1,47,167
1621,11,13,14,23,13,91,-4677,117,14,-0.6187,1.0194,-55.8,-49.7,52,16
1622,5,10,13,55,35,91,-4671,122,4,-0.0757,0.9531,13.5,-28.8,86,350
1622,11,3,5,34,48,90,-4665,127,14,0.0789,1.0544,-10.7,93.7,86,193
1623,4,29,14,16,0,89,-4659,132,1,-0.8244,0.9378,-39.8,-20.4,34,344
1623,10,23,21,17,10,88,-4653,137,14,0.777,1.0298,37.8,-128,39,199
1624,3,19,4,40,36,88,-4648,104,11,1.254,0.5288,72,23.5,0,91
1624,4,17,17,16,18,88,-4647,142,12,-1.5208,0.0582,-71.2,-23.1,0,306
1624,9,12,19,19,26,87,-4642,109,11,-1.2625,0.5133,-72,171.5,0,77
1624,10,12,8,53,55,87,-4641,147,12,1.5466,0.0089,71.5,109.9,0,245
1625,3,8,17,32,39,86,-4636,114,14,0.4965,1.0434,23.9,-89.4,60,161
1625,9,1,21,6,57,86,-4630,119,1,-0.552,0.938,-24.2,-146.4,56,18
1626,2,26,9,37,26,85,-4624,124,14,-0.1971,1.0535,-19.7,42.7,79,343
1626,8,21,21,47,42,84,-4618,129,1,0.1975,0.9584,23.1,-142.9,78,195
1627,2,16,0,13,31,84,-4612,134,7,-0.9119,1.004,-72.3,-130.9,24,307
1627,8,11,4,17,14,83,-4606,139,7,0.9401,1.0001,77.7,-173.3,19,253
1628,1,6,15,52,52,82,-4601,106,11,1.2858,0.4739,67.4,-59.2,0,177
1628,7,1,10,50,39,81,-4595,111,14,-0.8917,1.0692,-40.3,20,27,358
1628,12,25,15,8,47,81,-4589,116,1,0.6265,0.9153,15.4,-44,51,184
1629,6,21,3,59,24,80,-4583,121,14,-0.158,1.067,14.5,121.6,81,354
1629,12,14,16,19,7,79,-4577,126,1,-0.0725,0.9513,-27.6,-66.2,86,9
1630,6,10,17,41,7,79,-4571,131,7,0.6244,1.0122,60.9,-98.3,51,161
1630,12,4,0,38,59,78,-4565,136,7,-0.7585,1.0017,-68.7,139.6,40,36
1631,5,1,9,39,23,77,-4560,103,11,-1.407,0.2677,-62,94.2,0,304
1631,5,31,0,25,38,77,-4559,141,11,1.4433,0.1996,64.1,27.6,0,32
1631,10,25,5,4,15,76,-4554,108,11,1.2502,0.5384,61.7,167,0,244
1631,11,23,14,53,44,76,-4553,146,11,-1.3912,0.2723,-63.5,175.4,0,141
1632,4,19,9,54,30,76,-4548,113,1,-0.6694,0.9447,-26.4,50.8,48,331
1632,10,13,20,9,39,75,-4542,118,14,0.5873,1.022,23.7,-108.2,54,210
1633,4,8,14,37,6,74,-4536,123,1,0.0976,0.9913,12.4,-41.2,84,152
1633,10,3,6,0,37,73,-4530,128,4,-0.1405,0.9726,-11.2,83.4,82,29
1634,3,29,2,25,11,73,-4524,133,14,0.8169,1.0346,48.7,108.6,35,133
1634,9,22,8,47,4,72,-4518,138,1,-0.8947,0.93,-51.5,2.3,26,51
1635,2,17,8,57,24,71,-4513,105,11,-1.1407,0.744,-61.6,162.7,0,244
1635,3,18,18,24,53,71,-4512,143,11,1.4813,0.0973,61.1,177.7,0,92
1635,8,12,18,20,10,71,-4507,110,11,1.2412,0.5514,62.1,26.6,0,303
1636,2,6,22,14,33,70,-4501,115,1,-0.4825,0.9943,-41.6,-134.7,61,329
1636,8,1,2,58,15,69,-4495,120,14,0.4279,1.0275,41.5,148.9,64,207
1637,1,26,4,48,32,68,-4489,125,1,0.2265,0.9412,-6.4,107,77,161
1637,7,21,17,57,8,68,-4483,130,14,-0.3335,1.0731,1.8,-93.4,71,16
1638,1,15,4,51,53,67,-4477,135,1,0.9242,0.909,44,88.9,22,159
1638,6,12,3,55,44,66,-4472,102,13,1.4614,0.137,66.8,-62.9,0,356
1638,7,11,11,11,52,66,-4471,140,11,-1.0676,0.8917,-64.2,-19,0,30
1638,12,5,12,36,35,66,-4466,107,11,-1.3768,0.3143,-67.5,173,0,176
1639,1,4,4,56,19,65,-4465,145,12,1.565,0.0009,64.6,80,0,155
1639,6,1,15,55,16,65,-4460,112,1,0.7597,0.993,71.7,-65.3,40,173
1639,11,24,22,58,55,64,-4454,117,14,-0.6278,1.0197,-59.6,-174.7,51,10
1640,5,20,20,37,52,63,-4448,122,1,0.0002,0.9533,20.4,-130.2,90,179
1640,11,13,14,11,19,63,-4442,127,14,0.0623,1.0522,-14.8,-35.8,87,189
1641,5,9,21,1,19,62,-4436,132,1,-0.7532,0.9425,-30.8,-127.3,41,349
1641,11,3,5,40,9,61,-4430,137,14,0.757,1.0252,33,102.5,41,194
1642,3,30,12,29,29,61,-4425,104,11,1.2884,0.4668,71.9,-108,0,77
1642,4,29,0,29,43,60,-4424,142,11,-1.4585,0.166,-70.6,-144.7,0,318
1642,9,24,2,37,37,60,-4419,109,11,-1.3163,0.4199,-72.1,47.6,0,91
1642,10,23,16,48,36,60,-4418,147,11,1.5221,0.0551,71,-22.5,0,232
1643,3,20,1,47,19,59,-4413,114,14,0.5271,1.0479,30,144.6,58,159
1643,9,13,4,1,21,58,-4407,119,1,-0.6145,0.9343,-32.3,106.3,52,21
1644,3,8,18,2,43,58,-4401,124,14,-0.1717,1.0555,-14,-84.7,80,342
1644,9,1,4,45,28,57,-4395,129,1,0.1307,0.9584,15.4,110.9,82,197
1645,2,26,8,35,6,56,-4389,134,7,-0.8956,1.0043,-66.7,94.3,26,316
1645,8,21,11,34,18,55,-4383,139,7,0.871,1.004,68.2,43.7,29,222
1646,1,16,23,59,17,55,-4378,106,11,1.2957,0.4574,68.5,167.8,0,166
1646,7,12,18,18,19,54,-4372,111,14,-0.9641,1.0658,-53.2,-98,15,5
1647,1,5,23,10,59,53,-4366,116,1,0.6336,0.9161,16.9,-166.5,51,179
1647,7,2,11,21,21,53,-4360,121,14,-0.2344,1.0643,9.6,11,77,359
1647,12,26,0,38,35,52,-4354,126,1,-0.0675,0.9535,-27.4,170.6,86,4
1648,6,21,0,43,22,51,-4348,131,7,0.5483,1.0102,56.7,164,56,171
1648,12,14,9,17,55,51,-4342,136,7,-0.751,1.0035,-70.9,19.6,41,25
1649,5,11,16,22,4,50,-4337,103,11,-1.4801,0.1427,-62.7,-15.7,0,313
1649,6,10,7,2,37,50,-4336,141,11,1.3657,0.3345,65,-81.5,0,22
1649,11,4,13,35,8,49,-4331,108,11,1.2716,0.4978,62.2,30.2,0,235
1649,12,3,23,40,37,49,-4330,146,11,-1.382,0.2896,-64.4,34.1,0,151
1650,4,30,16,48,49,49,-4325,113,1,-0.7347,0.9481,-28.5,-52.9,43,334
1650,10,25,4,21,25,48,-4319,118,14,0.617,1.0159,22.3,127.9,52,207
1651,4,19,22,4,37,47,-4313,123,1,0.0433,0.9976,13.7,-152.4,87,154
1651,10,14,13,40,56,46,-4307,128,1,-0.1025,0.9668,-13.5,-31.3,84,28
1652,4,8,10,22,28,46,-4301,133,14,0.7713,1.0412,49.6,-8.9,39,135
1652,10,2,15,58,30,45,-4295,138,1,-0.8458,0.9275,-51.2,-102.7,32,50
1653,2,27,17,28,50,44,-4290,105,11,-1.1619,0.7043,-61.3,26,0,253
1653,3,29,2,38,6,44,-4289,143,11,1.4469,0.1622,61.2,45.6,0,83
1653,8,23,1,17,26,44,-4284,110,11,1.3072,0.4356,61.6,-86.7,0,295
1653,9,21,15,55,44,44,-4283,148,12,-1.545,0.0324,-61,-149.7,0,89
1654,2,17,6,36,38,43,-4278,115,1,-0.4991,0.9933,-38.3,100.9,60,327
1654,8,12,10,17,43,42,-4272,120,14,0.4962,1.0285,41.7,42.5,60,211
1655,2,6,12,51,54,42,-4266,125,1,0.2129,0.9408,-4.3,-14,78,157
1655,8,2,1,28,36,41,-4260,130,14,-0.2625,1.0735,3.7,154,75,20
1656,1,26,12,48,10,40,-4254,135,1,0.9122,0.9106,43.2,-34.1,24,154
1656,7,21,18,39,48,40,-4248,140,15,-0.9983,1.0244,-63.4,-140.7,0,39
1656,12,15,20,59,52,39,-4243,107,11,-1.379,0.3102,-66.4,36.3,0,187
1657,1,14,13,8,11,39,-4242,145,11,1.5547,0.0171,63.7,-52.7,0,145
1657,6,11,22,52,9,39,-4237,112,1,0.8395,0.9888,80.5,-153.7,33,190
1657,12,5,7,39,36,38,-4231,117,14,-0.6335,1.0205,-62.1,61.3,50,3
1658,6,1,3,11,38,37,-4225,122,1,0.0828,0.9532,27,131.3,85,178
1658,11,24,22,54,42,37,-4219,127,14,0.0513,1.0502,-18,-166.4,87,186
1659,5,21,3,38,53,36,-4213,132,1,-0.6747,0.9469,-22.2,129.2,47,353
1659,11,14,14,10,8,35,-4207,137,14,0.7432,1.0208,29.2,-28.2,42,190
1660,4,9,20,10,11,35,-4202,104,11,1.3301,0.3906,71.5,122.9,0,64
1660,5,9,7,36,45,35,-4201,142,11,-1.3897,0.2868,-69.7,95.9,0,331
1660,10,4,10,3,43,34,-4196,109,11,-1.3629,0.3401,-72,-78.2,0,105
1660,11,3,0,50,39,34,-4195,147,11,1.5038,0.0898,70.3,-156.2,0,219
1661,3,30,9,55,24,34,-4190,114,14,0.5634,1.0524,36.7,20.2,55,158
1661,9,23,11,2,34,33,-4184,119,1,-0.6711,0.9306,-40.3,-3,48,23
1662,3,20,2,21,49,32,-4178,124,14,-0.1414,1.0576,-7.9,149.1,82,342
1662,9,12,11,50,45,32,-4172,129,1,0.0694,0.9581,7.9,2.6,86,197
1663,3,9,16,48,41,31,-4166,134,7,-0.8735,1.0049,-60.5,-37.1,29,323
1663,9,1,18,59,8,31,-4160,139,7,0.8073,1.0065,58.6,-78.9,36,212
1664,1,28,8,2,31,30,-4155,106,11,1.3074,0.4376,69.6,35,0,154
1664,7,23,1,48,46,29,-4149,111,11,-1.0343,0.9581,-68.8,134.7,0,18
1664,8,21,8,58,23,29,-4148,149,12,1.487,0.0844,71,173.8,0,309
1665,1,16,7,11,51,29,-4143,116,1,0.642,0.9174,19.1,71.2,50,175
1665,7,12,18,44,6,28,-4137,121,14,-0.3095,1.0611,3.9,-100.6,72,3
1666,1,5,8,58,51,28,-4131,126,1,-0.0624,0.9562,-26.3,47.1,86,359
1666,7,2,7,42,30,27,-4125,131,7,0.4704,1.0075,51.4,64.4,62,178
1666,12,25,17,59,16,27,-4119,136,7,-0.7452,1.0058,-71.6,-98.3,42,11
1667,5,22,22,58,0,26,-4114,103,13,-1.5574,0.0102,-63.5,-124,0,322
1667,6,21,13,36,7,26,-4113,141,11,1.2858,0.4732,65.9,170.1,0,13
1667,11,15,22,12,6,26,-4108,108,11,1.288,0.4667,62.9,-108.2,0,225
1667,12,15,8,29,59,26,-4107,146,11,-1.3752,0.3024,-65.3,-108.2,0,162
1668,5,10,23,37,24,25,-4102,113,1,-0.8049,0.951,-32.3,-155.4,36,336
1668,11,4,12,40,5,25,-4096,118,7,0.6401,1.0102,21.1,1.8,50,204
1669,4,30,5,26,7,24,-4090,123,7,-0.0171,1.0036,14.1,98.2,89,334
1669,10,24,21,28,5,24,-4084,128,1,-0.071,0.9613,-15.9,-147.7,86,26
1670,4,19,18,12,20,23,-4078,133,14,0.7191,1.0476,50.6,-123.3,44,137
1670,10,13,23,19,0,23,-4072,138,1,-0.8043,0.9247,-52.4,149.1,36,49
1671,3,11,1,50,58,22,-4067,105,11,-1.1906,0.6504,-61,-108.3,0,262
1671,4,9,10,41,25,22,-4066,143,11,1.4047,0.2423,61.4,-84.1,0,74
1671,9,3,8,23,57,22,-4061,110,11,1.3664,0.3318,61.3,157.8,0,286
1671,10,2,23,13,22,22,-4060,148,11,-1.4952,0.1177,-61,92.1,0,98
1672,2,28,14,50,43,21,-4055,115,1,-0.5218,0.9926,-35.2,-22,58,326
1672,8,22,17,44,6,21,-4049,120,14,0.5594,1.0288,41.2,-66.2,56,215
1673,2,16,20,49,18,20,-4043,125,1,0.195,0.9409,-1.8,-133.5,79,154
1673,8,12,9,4,5,20,-4037,130,14,-0.1946,1.0731,4.6,40.6,79,23
1674,2,5,20,41,35,19,-4031,135,1,0.8979,0.9129,42.8,-155.7,26,149
1674,8,2,2,7,57,19,-4025,140,14,-0.9295,1.056,-45.9,120.8,21,29
1674,12,27,5,27,33,18,-4020,107,11,-1.3784,0.3108,-65.4,-100.9,0,198
1675,1,25,21,19,48,18,-4019,145,11,1.5434,0.0346,62.9,175.1,0,135
1675,6,23,5,44,39,18,-4014,112,1,0.9219,0.9835,84.1,-166.1,22,282
1675,12,16,16,24,3,18,-4008,117,14,-0.6367,1.0218,-63.1,-62,50,353
1676,6,11,9,42,37,17,-4002,122,1,0.1673,0.9527,33,34.6,80,182
1676,12,5,7,42,8,17,-3996,127,14,0.0435,1.0486,-20.2,62.5,88,181
1677,5,31,10,13,53,16,-3990,132,1,-0.5935,0.951,-14.4,27.5,53,358
1677,11,24,22,44,3,16,-3984,137,14,0.7332,1.0166,26.3,-159.6,43,186
1678,4,21,3,45,50,16,-3979,104,11,1.3765,0.3049,71,-4.5,0,51
1678,5,20,14,40,42,16,-3978,142,11,-1.3172,0.4158,-68.8,-22.1,0,342
1678,10,15,17,36,58,15,-3973,109,11,-1.4027,0.273,-71.6,154.5,0,119
1678,11,14,8,58,14,15,-3972,147,11,1.4908,0.1148,69.4,69.4,0,206
1679,4,10,17,55,13,15,-3967,114,14,0.607,1.0565,43.8,-102.2,52,157
1679,10,4,18,13,56,15,-3961,119,1,-0.7191,0.927,-48,-114.9,44,26
1680,3,30,10,32,1,14,-3955,124,14,-0.1039,1.0595,-1.5,24.9,84,343
1680,9,22,19,6,23,14,-3949,129,1,0.016,0.9578,0.7,-108.2,89,198
1681,3,20,0,52,59,13,-3943,134,7,-0.8445,1.0057,-53.8,-165.3,32,329
1681,9,12,2,33,12,13,-3937,139,7,0.7504,1.0083,49.8,161.1,41,207
1682,2,7,15,59,21,13,-3932,106,11,1.3238,0.4101,70.5,-96.8,0,141
1682,8,3,9,21,11,13,-3926,111,11,-1.1028,0.8246,-69.7,9.5,0,30
1682,9,1,16,42,24,13,-3925,149,11,1.4279,0.1978,71.5,44.3,0,296
1683,1,27,15,10,9,12,-3920,116,1,0.6526,0.9195,22.1,-50.6,49,171
1683,7,24,2,7,0,12,-3914,121,14,-0.3838,1.0569,-2.5,147.1,67,7
1684,1,16,17,18,53,12,-3908,126,1,-0.0565,0.9596,-24.2,-76.7,87,355
1684,7,12,14,40,35,11,-3902,131,7,0.3926,1.0041,45.2,-37.1,67,184
1685,1,5,2,42,50,11,-3896,136,7,-0.7409,1.0086,-70.7,143.1,42,357
1685,7,1,20,6,7,11,-3890,141,11,1.203,0.6163,66.9,62.2,0,3
1685,11,26,6,54,43,11,-3885,108,11,1.3,0.4442,63.7,111.8,0,215
1685,12,25,17,22,35,11,-3884,146,11,-1.371,0.3102,-66.4,108.3,0,172
1686,5,22,6,21,20,10,-3879,113,1,-0.8791,0.9533,-38.6,103.3,28,339
1686,11,15,21,5,0,10,-3873,118,7,0.6578,1.0048,20.2,-126,49,200
1687,5,11,12,42,28,10,-3867,123,7,-0.0828,1.0094,13.6,-9.9,85,339
1687,11,5,5,22,24,10,-3861,128,1,-0.046,0.9561,-18.3,94.3,87,23
1688,4,30,1,57,34,10,-3855,133,14,0.6621,1.0535,51.4,124.4,48,141
1688,10,24,6,46,41,9,-3849,138,1,-0.7686,0.9221,-54.4,39.2,39,47
1689,3,21,10,6,42,9,-3844,105,11,-1.2245,0.5867,-61,119,0,271
1689,4,19,18,39,23,9,-3843,143,11,1.3581,0.3312,61.7,147.5,0,65
1689,9,13,15,39,22,9,-3838,110,11,1.4191,0.2394,61.1,40.2,0,277
1689,10,13,6,40,2,9,-3837,148,11,-1.4517,0.192,-61.2,-28.3,0,107
1690,3,10,22,56,0,9,-3832,115,1,-0.5512,0.992,-32.5,-143,56,325
1690,9,3,1,17,47,9,-3826,120,14,0.6173,1.0287,40.3,-177.4,52,217
1691,2,28,4,37,41,9,-3820,125,1,0.1701,0.9414,0.8,109.3,80,152
1691,8,23,16,45,57,9,-3814,130,14,-0.1317,1.072,4.5,-74.3,82,26
1692,2,17,4,26,56,8,-3808,135,1,0.8765,0.9159,42.4,85.6,28,145
1692,8,12,9,41,5,8,-3802,140,14,-0.8649,1.0546,-39.8,8.6,30,31
1693,1,6,13,55,33,8,-3797,107,11,-1.3788,0.3097,-64.4,122.2,0,208
1693,2,5,5,27,9,8,-3796,145,11,1.5276,0.0597,62.2,44.2,0,125
1693,7,3,12,33,52,8,-3791,112,11,1.0058,0.9718,64.8,146.3,0,336
1693,12,27,1,10,50,8,-3785,117,14,-0.6387,1.0236,-62.6,174.3,50,343
1694,6,22,16,8,45,8,-3779,122,1,0.2556,0.9517,38.4,-59.7,75,187
1694,12,16,16,33,11,8,-3773,127,14,0.0388,1.0475,-21.3,-69.2,88,176
